"URN","LA (code)","LA (name)","EstablishmentNumber","EstablishmentName","TypeOfEstablishment (name)","EstablishmentTypeGroup (name)","EstablishmentStatus (name)","ReasonEstablishmentOpened (name)","OpenDate","ReasonEstablishmentClosed (name)","CloseDate","PhaseOfEducation (name)","StatutoryLowAge","StatutoryHighAge","Boarders (name)","NurseryProvision (name)","OfficialSixthForm (name)","Gender (name)","ReligiousCharacter (name)","ReligiousEthos (name)","Diocese (name)","AdmissionsPolicy (name)","SchoolCapacity","SpecialClasses (name)","CensusDate","NumberOfPupils","NumberOfBoys","NumberOfGirls","PercentageFSM","TrustSchoolFlag (name)","Trusts (name)","SchoolSponsorFlag (name)","SchoolSponsors (name)","FederationFlag (name)","Federations (name)","UKPRN","FEHEIdentifier","FurtherEducationType (name)","OfstedLastInsp","Street","Locality","Address3","Town","County (name)","Postcode","SchoolWebsite","TelephoneNum","HeadTitle (name)","HeadFirstName","HeadLastName","HeadPreferredJobTitle","InspectorateName (name)","InspectorateReport","DateOfLastInspectionVisit","NextInspectionVisit","TeenMoth (name)","TeenMothPlaces","CCF (name)","SENPRU (name)","EBD (name)","PlacesPRU","FTProv (name)","EdByOther (name)","Section41Approved (name)","SEN1 (name)","SEN2 (name)","SEN3 (name)","SEN4 (name)","SEN5 (name)","SEN6 (name)","SEN7 (name)","SEN8 (name)","SEN9 (name)","SEN10 (name)","SEN11 (name)","SEN12 (name)","SEN13 (name)","TypeOfResourcedProvision (name)","ResourcedProvisionOnRoll","ResourcedProvisionCapacity","SenUnitOnRoll","SenUnitCapacity","GOR (name)","DistrictAdministrative (name)","AdministrativeWard (name)","ParliamentaryConstituency (name)","UrbanRural (name)","GSSLACode (name)","Easting","Northing","CensusAreaStatisticWard (name)","MSOA (name)","LSOA (name)","Inspectorate (name)","SENStat","SENNoStat","PropsName","OfstedRating (name)","RSCRegion (name)","Country (name)","UPRN","SiteName","MSOA (code)","LSOA (code)"
20003,"852","Southampton","","Central Sure Start Children's Centre","Children's centre","Children's Centres","Open","","28-03-2006","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Clovelly,  60-68 Clovelly Road","Central","","Southampton","Hampshire","SO14 0AU","http://sid.southampton.gov.uk/kb5/southampton/directory/family.page?familychannel=2","023-8033-1635","","Kevin","Allan","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Southampton","Bevois","Southampton, Test","Urban city and town","X999999",442601,112587,"","Southampton 022","Southampton 022D","","","","","","South-East England and South London","","10001318158","","E02003570","E01017156"
20040,"850","Hampshire","","Acorn's Children's Centre","Children's centre","Children's Centres","Open","","30-01-2008","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Vigo Road","","","Andover","Hampshire","SP10 1JZ","http://www.actionforchildren.org.uk/our-services/acorns-childrens-centre","01264-336718","","Tina","Monaghan","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Test Valley","St Mary's","North West Hampshire","Urban city and town","X999999",437384,146112,"","Test Valley 003","Test Valley 003C","","","","","","South-East England and South London","","200000709204","","E02004816","E01023202"
20071,"850","Hampshire","","All Seasons and Seedlings Children's Centre","Children's centre","Children's Centres","Open","","25-03-2008","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Priestlands Road","Pennington","Lymington","New Forest","Hampshire","SO41 8HX","http://www.actionforchildren.org.uk/our-services/all-seasons-and-seedlings-childrens-centre","01425-612113-","","Tina","Monaghan","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","New Forest","Pennington","New Forest West","Urban city and town","X999999",431315,95111,"","New Forest 019","New Forest 019E","","","","","","South-East England and South London","","10007453583","","E02004797","E01023061"
20145,"850","Hampshire","","Aviary Children's Centre","Children's centre","Children's Centres","Open","","10-08-2007","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Blackbird Road","Nightingale Avenue","","Eastleigh","Hampshire","SO50 9JW","http://www.actionforchildren.org.uk/our-services/the-aviary-childrens-centre","02380-684990","","Rebecca","Reeve","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Eastleigh","Eastleigh South","Eastleigh","Urban city and town","X999999",443650,118480,"","Eastleigh 006","Eastleigh 006C","","","","","","South-East England and South London","","10009591456","","E02004717","E01022678"
20213,"852","Southampton","","Bassett and Lordswood Sure Start Childrens Centre","Children's centre","Children's Centres","Open","","11-12-2009","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Hollybrook Junior School","Seagarth Lane","","Southampton","Not applicable","SO16 6RL","","02380832094","","Sean","Holehouse","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Southampton","Bassett","Romsey and Southampton North","Urban city and town","X999999",440731,115166,"","Southampton 006","Southampton 006D","","","","","","South-East England and South London","","10090584384","","E02003554","E01017152"
20254,"850","Hampshire","","Bunnies Children's Centre","Children's centre linked site","Children's Centres","Open","","","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Hatchwarren Community Centre","Longcross Lane","Hatch Warren","Basingstoke","Hampshire","RG22 4XF","","01264-735437","","","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Basingstoke and Deane","Hatch Warren and Beggarwood","Basingstoke","Urban city and town","X999999",460491,148634,"","Basingstoke and Deane 021","Basingstoke and Deane 021G","","","","","","South-East England and South London","","10000451552","","E02004695","E01032850"
20320,"850","Hampshire","","Badgers and Home Tree Children's Centre","Children's centre","Children's Centres","Open","","26-02-2010","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Bishops Green Community Ct","Beech Road","Bishops Green","Basingstoke","Hampshire","RG20 4AD","http://www.actionforchildren.org.uk/our-services/badgers-and-home-tree-childrens-centre","01256-357028","","Karen","Bamford","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Basingstoke and Deane","Burghclere, Highclere and St Mary Bourne","North West Hampshire","Rural village","X999999",450022,163032,"","Basingstoke and Deane 003","Basingstoke and Deane 003A","","","","","","South-East England and South London","","10008484316","","E02004677","E01022488"
20323,"850","Hampshire","","Little Petals Children's Centre","Children's centre linked site","Children's Centres","Open","","","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Bishops Waltham Library","Bank Street","","Bishops Waltham","Hampshire","SO32 1AN","","07949-036682","","","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Winchester","Bishop's Waltham","Meon Valley","Rural town and fringe","X999999",455589,117541,"","Winchester 012","Winchester 012B","","","","","","South-East England and South London","","","","E02004840","E01023221"
20325,"852","Southampton","","Bitterne Sure Start Children Centre","Children's centre","Children's Centres","Open","","11-12-2009","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","United Reformed Church","Bitterne Precinct","Bitterne","Southampton","Hampshire","SO18 5EF","http://sid.southampton.gov.uk/kb5/southampton/directory/results.page?qt=&term=&familychannel=2-1","02380915480","","Simon","Dennison","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Southampton","Peartree","Southampton, Itchen","Urban city and town","X999999",445162,112945,"","Southampton 024","Southampton 024C","","","","","","South-East England and South London","","","","E02003572","E01017224"
20370,"850","Hampshire","","Hop-a-Long Children's Centre","Children's centre linked site","Children's Centres","Open","","","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","Botley Primary School","52 High Street","Botley","Eastleigh","Hampshire","SO30 2EA","","07792-821550","","","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Eastleigh","Botley","Eastleigh","Urban city and town","X999999",451310,113036,"","Eastleigh 010","Eastleigh 010A","","","","","","South-East England and South London","","10009591826","","E02004721","E01022653"
